"Date_reported","Country_code","Country","WHO_region","New_cases","New_deaths"
2020-02-24,"AF","Afghanistan","EMRO",1,0
2020-02-25,"AF","Afghanistan","EMRO",0,0
2020-02-26,"AF","Afghanistan","EMRO",0,0
2020-02-27,"AF","Afghanistan","EMRO",0,0
2020-02-28,"AF","Afghanistan","EMRO",0,0
2020-02-29,"AF","Afghanistan","EMRO",0,0
2020-03-01,"AF","Afghanistan","EMRO",0,0
2020-03-02,"AF","Afghanistan","EMRO",0,0
2020-03-03,"AF","Afghanistan","EMRO",0,0
2020-03-04,"AF","Afghanistan","EMRO",0,0
2020-03-05,"AF","Afghanistan","EMRO",0,0
2020-03-06,"AF","Afghanistan","EMRO",0,0
2020-03-07,"AF","Afghanistan","EMRO",3,0
2020-03-08,"AF","Afghanistan","EMRO",0,0
2020-03-09,"AF","Afghanistan","EMRO",0,0
2020-03-10,"AF","Afghanistan","EMRO",0,0
2020-03-11,"AF","Afghanistan","EMRO",3,0
2020-03-12,"AF","Afghanistan","EMRO",0,0
2020-03-13,"AF","Afghanistan","EMRO",0,0
2020-03-14,"AF","Afghanistan","EMRO",3,0
2020-03-15,"AF","Afghanistan","EMRO",6,0
2020-03-16,"AF","Afghanistan","EMRO",5,0
2020-03-17,"AF","Afghanistan","EMRO",1,0
2020-03-18,"AF","Afghanistan","EMRO",0,0
2020-03-19,"AF","Afghanistan","EMRO",0,0
2020-03-20,"AF","Afghanistan","EMRO",2,0
2020-03-21,"AF","Afghanistan","EMRO",0,0
2020-03-22,"AF","Afghanistan","EMRO",10,0
2020-03-23,"AF","Afghanistan","EMRO",6,1
2020-03-24,"AF","Afghanistan","EMRO",2,0
2020-03-25,"AF","Afghanistan","EMRO",32,0
2020-03-26,"AF","Afghanistan","EMRO",6,1
2020-03-27,"AF","Afghanistan","EMRO",11,0
2020-03-28,"AF","Afghanistan","EMRO",15,1
2020-03-29,"AF","Afghanistan","EMRO",8,1
2020-03-30,"AF","Afghanistan","EMRO",0,0
2020-03-31,"AF","Afghanistan","EMRO",52,0
2020-04-01,"AF","Afghanistan","EMRO",26,0
2020-04-02,"AF","Afghanistan","EMRO",43,0
2020-04-03,"AF","Afghanistan","EMRO",34,1
2020-04-04,"AF","Afghanistan","EMRO",1,0
