WHO_region,Date_reported,New_cases,New_deaths
AFRO,2020-01-03,0,0
AMRO,2020-01-03,0,0
EMRO,2020-01-03,0,0
EURO,2020-01-03,0,0
SEARO,2020-01-03,0,0
WPRO,2020-01-03,0,0
AFRO,2020-01-04,0,0
AMRO,2020-01-04,0,0
EMRO,2020-01-04,0,0
EURO,2020-01-04,0,0
SEARO,2020-01-04,0,0
WPRO,2020-01-04,1,0
AFRO,2020-01-05,0,0
AMRO,2020-01-05,0,0
EMRO,2020-01-05,0,0
EURO,2020-01-05,0,0
SEARO,2020-01-05,0,0
WPRO,2020-01-05,0,0
AFRO,2020-01-06,0,0
AMRO,2020-01-06,0,0
EMRO,2020-01-06,0,0
EURO,2020-01-06,0,0
SEARO,2020-01-06,0,0
WPRO,2020-01-06,3,0
AFRO,2020-01-07,0,0
AMRO,2020-01-07,0,0
EMRO,2020-01-07,0,0
EURO,2020-01-07,0,0
SEARO,2020-01-07,0,0
WPRO,2020-01-07,0,0
AFRO,2020-01-08,0,0
AMRO,2020-01-08,0,0
EMRO,2020-01-08,0,0
EURO,2020-01-08,0,0
SEARO,2020-01-08,0,0
WPRO,2020-01-08,0,0
AFRO,2020-01-09,0,0
AMRO,2020-01-09,0,0
EMRO,2020-01-09,0,0
EURO,2020-01-09,0,0
SEARO,2020-01-09,0,0
WPRO,2020-01-09,0,0
AFRO,2020-01-10,0,0
AMRO,2020-01-10,0,0
EMRO,2020-01-10,0,0
EURO,2020-01-10,0,0
SEARO,2020-01-10,0,0
WPRO,2020-01-10,0,0
AFRO,2020-01-11,0,0
AMRO,2020-01-11,0,0
EMRO,2020-01-11,0,0
EURO,2020-01-11,0,0
SEARO,2020-01-11,0,0
WPRO,2020-01-11,0,0
AFRO,2020-01-12,0,0
AMRO,2020-01-12,0,0
EMRO,2020-01-12,0,0
EURO,2020-01-12,0,0
SEARO,2020-01-12,0,0
WPRO,2020-01-12,41,1
AFRO,2020-01-13,0,0
AMRO,2020-01-13,0,0
EMRO,2020-01-13,0,0
EURO,2020-01-13,0,0
SEARO,2020-01-13,5,0
WPRO,2020-01-13,0,0
AFRO,2020-01-14,0,0
AMRO,2020-01-14,0,0
EMRO,2020-01-14,0,0
EURO,2020-01-14,0,0
SEARO,2020-01-14,0,0
WPRO,2020-01-14,1,0
AFRO,2020-01-15,0,0
AMRO,2020-01-15,0,0
EMRO,2020-01-15,0,0
EURO,2020-01-15,0,0
SEARO,2020-01-15,0,0
WPRO,2020-01-15,0,0
AFRO,2020-01-16,0,0
AMRO,2020-01-16,0,0
EMRO,2020-01-16,0,0
EURO,2020-01-16,0,0
SEARO,2020-01-16,0,0
WPRO,2020-01-16,0,0
AFRO,2020-01-17,0,0
AMRO,2020-01-17,0,0
EMRO,2020-01-17,0,0
EURO,2020-01-17,0,0
SEARO,2020-01-17,1,0
WPRO,2020-01-17,4,1
AFRO,2020-01-18,0,0
AMRO,2020-01-18,0,0
EMRO,2020-01-18,0,0
EURO,2020-01-18,0,0
SEARO,2020-01-18,0,0
WPRO,2020-01-18,0,0
AFRO,2020-01-19,0,0
AMRO,2020-01-19,0,0
EMRO,2020-01-19,0,0
EURO,2020-01-19,0,0
SEARO,2020-01-19,0,0
WPRO,2020-01-19,81,1
AFRO,2020-01-20,0,0
AMRO,2020-01-20,5,0
EMRO,2020-01-20,0,0
EURO,2020-01-20,0,0
SEARO,2020-01-20,0,0
WPRO,2020-01-20,77,1
AFRO,2020-01-21,0,0
AMRO,2020-01-21,0,0
EMRO,2020-01-21,0,0
EURO,2020-01-21,0,0
SEARO,2020-01-21,0,0
WPRO,2020-01-21,93,2
AFRO,2020-01-22,0,0
AMRO,2020-01-22,0,0
EMRO,2020-01-22,0,0
EURO,2020-01-22,0,0
SEARO,2020-01-22,2,0
WPRO,2020-01-22,147,11
AFRO,2020-01-23,0,0
AMRO,2020-01-23,0,0
EMRO,2020-01-23,0,0
EURO,2020-01-23,0,0
SEARO,2020-01-23,5,0
WPRO,2020-01-23,132,1
AFRO,2020-01-24,0,0
AMRO,2020-01-24,1,0
EMRO,2020-01-24,0,0
EURO,2020-01-24,3,0
SEARO,2020-01-24,0,0
WPRO,2020-01-24,269,8
AFRO,2020-01-25,0,0
AMRO,2020-01-25,0,0
EMRO,2020-01-25,0,0
EURO,2020-01-25,0,0
SEARO,2020-01-25,0,0
WPRO,2020-01-25,469,16
AFRO,2020-01-26,0,0
AMRO,2020-01-26,3,0
EMRO,2020-01-26,0,0
EURO,2020-01-26,0,0
SEARO,2020-01-26,1,0
WPRO,2020-01-26,691,14
AFRO,2020-01-27,0,0
AMRO,2020-01-27,6,0
EMRO,2020-01-27,0,0
EURO,2020-01-27,0,0
SEARO,2020-01-27,8,0
WPRO,2020-01-27,782,26
AFRO,2020-01-28,0,0
AMRO,2020-01-28,1,0
EMRO,2020-01-28,0,0
EURO,2020-01-28,1,0
SEARO,2020-01-28,6,0
WPRO,2020-01-28,1771,49
AFRO,2020-01-29,0,0
AMRO,2020-01-29,0,0
EMRO,2020-01-29,8,0
EURO,2020-01-29,7,0
SEARO,2020-01-29,0,0
WPRO,2020-01-29,1469,2
AFRO,2020-01-30,0,0
AMRO,2020-01-30,1,0
EMRO,2020-01-30,0,0
EURO,2020-01-30,1,0
SEARO,2020-01-30,5,0
WPRO,2020-01-30,1750,38
AFRO,2020-01-31,0,0
AMRO,2020-01-31,2,0
EMRO,2020-01-31,0,0
EURO,2020-01-31,6,0
SEARO,2020-01-31,5,0
WPRO,2020-01-31,2000,42
AFRO,2020-02-01,0,0
AMRO,2020-02-01,1,0
EMRO,2020-02-01,1,0
EURO,2020-02-01,4,0
SEARO,2020-02-01,0,0
WPRO,2020-02-01,2109,46
AFRO,2020-02-02,0,0
AMRO,2020-02-02,0,0
EMRO,2020-02-02,0,0
EURO,2020-02-02,5,0
SEARO,2020-02-02,1,0
WPRO,2020-02-02,2601,103
AFRO,2020-02-03,0,0
AMRO,2020-02-03,3,0
EMRO,2020-02-03,0,0
EURO,2020-02-03,1,0
SEARO,2020-02-03,1,0
WPRO,2020-02-03,2834,64
AFRO,2020-02-04,0,0
AMRO,2020-02-04,0,0
EMRO,2020-02-04,0,0
EURO,2020-02-04,3,0
SEARO,2020-02-04,6,0
WPRO,2020-02-04,3235,66
AFRO,2020-02-05,0,0
AMRO,2020-02-05,1,0
EMRO,2020-02-05,0,0
EURO,2020-02-05,1,0
SEARO,2020-02-05,0,0
WPRO,2020-02-05,3908,72
AFRO,2020-02-06,0,0
AMRO,2020-02-06,1,0
EMRO,2020-02-06,0,0
EURO,2020-02-06,0,0
SEARO,2020-02-06,0,0
WPRO,2020-02-06,3712,70
AFRO,2020-02-07,0,0
AMRO,2020-02-07,2,0
EMRO,2020-02-07,0,0
EURO,2020-02-07,2,0
SEARO,2020-02-07,0,0
WPRO,2020-02-07,3159,85
AFRO,2020-02-08,0,0
AMRO,2020-02-08,0,0
EMRO,2020-02-08,2,0
EURO,2020-02-08,6,0
SEARO,2020-02-08,0,0
WPRO,2020-02-08,3392,87
AFRO,2020-02-09,0,0
AMRO,2020-02-09,0,0
EMRO,2020-02-09,0,0
EURO,2020-02-09,0,0
SEARO,2020-02-09,0,0
WPRO,2020-02-09,2664,100
AFRO,2020-02-10,0,0
AMRO,2020-02-10,0,0
EMRO,2020-02-10,1,0
EURO,2020-02-10,4,0
SEARO,2020-02-10,0,0
WPRO,2020-02-10,2989,107
AFRO,2020-02-11,0,0
AMRO,2020-02-11,1,0
EMRO,2020-02-11,0,0
EURO,2020-02-11,2,0
SEARO,2020-02-11,8,0
WPRO,2020-02-11,2478,100
AFRO,2020-02-12,0,0
AMRO,2020-02-12,0,0
EMRO,2020-02-12,0,0
EURO,2020-02-12,2,0
SEARO,2020-02-12,0,0
WPRO,2020-02-12,2027,5
AFRO,2020-02-13,0,0
AMRO,2020-02-13,2,0
EMRO,2020-02-13,0,0
EURO,2020-02-13,1,1
SEARO,2020-02-13,0,0
WPRO,2020-02-13,15155,253
AFRO,2020-02-14,0,0
AMRO,2020-02-14,0,0
EMRO,2020-02-14,5,0
EURO,2020-02-14,3,0
SEARO,2020-02-14,0,0
WPRO,2020-02-14,4065,152
AFRO,2020-02-15,0,0
AMRO,2020-02-15,0,0
EMRO,2020-02-15,0,0
EURO,2020-02-15,0,1
SEARO,2020-02-15,1,0
WPRO,2020-02-15,2660,142
AFRO,2020-02-16,0,0
AMRO,2020-02-16,0,0
EMRO,2020-02-16,1,0
EURO,2020-02-16,0,0
SEARO,2020-02-16,0,0
WPRO,2020-02-16,2029,104
AFRO,2020-02-17,0,0
AMRO,2020-02-17,1,0
EMRO,2020-02-17,0,0
EURO,2020-02-17,1,0
SEARO,2020-02-17,1,0
WPRO,2020-02-17,2060,98
AFRO,2020-02-18,0,0
AMRO,2020-02-18,0,0
EMRO,2020-02-18,0,0
EURO,2020-02-18,0,0
SEARO,2020-02-18,0,0
WPRO,2020-02-18,1904,139
AFRO,2020-02-19,0,0
AMRO,2020-02-19,0,0
EMRO,2020-02-19,0,0
EURO,2020-02-19,0,0
SEARO,2020-02-19,0,0
WPRO,2020-02-19,1782,113
AFRO,2020-02-20,0,0
AMRO,2020-02-20,0,0
EMRO,2020-02-20,9,2
EURO,2020-02-20,0,0
SEARO,2020-02-20,0,0
WPRO,2020-02-20,432,123
AFRO,2020-02-21,0,0
AMRO,2020-02-21,19,0
EMRO,2020-02-21,20,2
EURO,2020-02-21,1,0
SEARO,2020-02-21,0,0
WPRO,2020-02-21,1035,0
AFRO,2020-02-22,0,0
AMRO,2020-02-22,2,0
EMRO,2020-02-22,12,1
EURO,2020-02-22,14,0
SEARO,2020-02-22,0,0
WPRO,2020-02-22,1073,206
AFRO,2020-02-23,0,0
AMRO,2020-02-23,0,0
EMRO,2020-02-23,15,3
EURO,2020-02-23,65,2
SEARO,2020-02-23,0,0
WPRO,2020-02-23,849,2
AFRO,2020-02-24,0,0
AMRO,2020-02-24,19,0
EMRO,2020-02-24,44,0
EURO,2020-02-24,55,0
SEARO,2020-02-24,0,0
WPRO,2020-02-24,463,155
AFRO,2020-02-25,5,0
AMRO,2020-02-25,0,0
EMRO,2020-02-25,64,7
EURO,2020-02-25,99,4
SEARO,2020-02-25,2,0
WPRO,2020-02-25,674,72
AFRO,2020-02-26,0,0
AMRO,2020-02-26,12,0
EMRO,2020-02-26,66,4
EURO,2020-02-26,110,5
SEARO,2020-02-26,0,0
WPRO,2020-02-26,705,56
